,video,method,value
423,video_53,maxim_realblur_j,1.4163538566749325
424,video_54,nafnet_reds,6.311622990245685
425,video_54,gt,5.853345341488921
426,video_54,mffdnet,0.0
427,video_54,maxim_reds,1.0074405937463995
428,video_54,real_blur,0.3413597189873041
429,video_54,maxim_realblur_j,3.4373087926294477
430,video_54,deblurgan_inception,1.3682171804590952
431,video_54,maxim_gopro,1.4252174469167445
432,video_55,real_blur,0.5183051817577982
433,video_55,deblurgan_inception,2.669915011476326
434,video_55,maxim_realblur_j,3.6385397985126913
435,video_55,maxim_reds,1.5217541045878842
436,video_55,nafnet_reds,3.6015901302026094
437,video_55,gt,6.01926710887419
438,video_55,mffdnet,0.0
439,video_55,maxim_gopro,3.6691011814684495
440,video_56,gt,7.958862779794636
441,video_56,real_blur,0.0
442,video_56,maxim_reds,0.31672341778502844
443,video_56,mffdnet,1.963839427548347
444,video_56,nafnet_reds,4.645944829399897
445,video_56,maxim_realblur_j,0.2609782271395584
446,video_56,deblurgan_inception,4.319642788026436
447,video_56,maxim_gopro,1.3299500059955065
448,video_57,nafnet_reds,6.7756481297880935
449,video_57,maxim_realblur_j,5.1523244610390595
450,video_57,gt,7.271291686280406
451,video_57,real_blur,0.0
452,video_57,maxim_reds,2.9218291638699285
453,video_57,mffdnet,2.553080080379603
454,video_57,deblurgan_inception,5.440829403075057
455,video_57,maxim_gopro,4.14201343651613
456,video_58,gt,7.083632638055843
457,video_58,maxim_reds,0.0
458,video_58,deblurgan_inception,2.7310643675410207
459,video_58,mffdnet,0.9526728458730611
460,video_58,nafnet_reds,3.8193792151247905
461,video_58,maxim_realblur_j,1.6757549082241283
462,video_58,real_blur,0.3044228253029786
463,video_58,maxim_gopro,1.0710858464299404
464,video_59,nafnet_reds,5.050870783513757
465,video_59,maxim_gopro,3.505980967243583
466,video_59,mffdnet,0.702016540187202
467,video_59,real_blur,0.0
468,video_59,maxim_realblur_j,3.6134478652240576
469,video_59,deblurgan_inception,1.74824387932166
470,video_59,gt,6.32251797200368
471,video_59,maxim_reds,1.7750663082357008
